layer_height,print_speed,fan_speed,bed_temperature,nozzle_temperature,infill_density,wall_thickness,roughness,strength,material,infill_pattern
0.02,40,0,60,200,46,11,65,65,0,0
0.02,40,5,61,201,44,11,62,62,0,0
0.02,40,10,62,202,44,11,60,60,0,0
0.02,40,15,63,203,42,11,57,57,0,0
0.02,40,20,64,204,41,11,54,54,0,0
0.02,40,25,65,205,41,10,52,52,0,0
0.02,40,30,66,206,40,10,49,49,0,0
0.02,40,35,67,207,38,10,46,46,0,0
0.02,40,40,68,208,38,10,44,44,0,0
0.02,40,45,69,209,36,10,41,41,0,0
0.02,40,50,70,210,35,10,38,38,0,0
0.02,40,55,71,211,34,10,35,35,0,0
0.02,40,60,72,212,33,10,32,32,0,0
0.02,40,65,73,213,32,10,30,30,0,0
0.02,40,70,74,214,31,10,27,27,0,0
0.02,40,75,75,215,30,10,24,24,0,0
0.02,40,80,76,216,29,10,22,22,0,0
0.02,40,85,77,217,28,10,19,19,0,0
0.02,40,90,78,218,28,10,17,17,0,0
0.02,40,95,79,219,26,10,13,13,0,0
0.02,40,100,80,220,24,10,10,10,0,0
0.06,60,0,60,200,49,8,115,115,0,0
0.06,60,5,61,201,48,8,112,112,0,0
0.06,60,10,62,202,48,8,110,110,0,0
0.06,60,15,63,203,46,8,107,107,0,0
0.06,60,20,64,204,45,8,104,104,0,0
0.06,60,25,65,205,44,8,101,101,0,0
0.06,60,30,66,206,43,8,98,98,0,0
0.06,60,35,67,207,42,8,96,96,0,0
0.06,60,40,68,208,41,8,93,93,0,0
0.06,60,45,69,209,40,8,90,90,0,0
0.06,60,50,70,210,38,8,87,87,0,0
0.06,60,55,71,211,37,8,84,84,0,0
0.06,60,60,72,212,37,7,82,82,0,0
0.06,60,65,73,213,36,7,80,80,0,0
0.06,60,70,74,214,34,7,76,76,0,0
0.06,60,75,75,215,34,7,74,74,0,0
0.06,60,80,76,216,32,7,71,71,0,0
0.06,60,85,77,217,31,7,68,68,0,0
0.06,60,90,78,218,31,7,66,66,0,0
0.06,60,95,79,219,30,7,63,63,0,0
0.06,60,100,80,220,28,7,60,60,0,0
0.1,120,0,60,200,52,3,165,165,0,0
0.1,120,5,61,201,51,3,162,162,0,0
0.1,120,10,62,202,51,3,160,160,0,0
0.1,120,15,63,203,50,3,157,157,0,0
0.1,120,20,64,204,48,2,154,154,0,0
0.1,120,25,65,205,48,2,152,152,0,0
0.1,120,30,66,206,46,2,149,149,0,0
0.1,120,35,67,207,45,2,146,146,0,0
0.1,120,40,68,208,45,2,144,144,0,0
0.1,120,45,69,209,44,2,141,141,0,0
0.1,120,50,70,210,42,2,138,138,0,0
0.1,120,55,71,211,41,2,135,135,0,0
0.1,120,60,72,212,40,2,132,132,0,0
0.1,120,65,73,213,39,2,130,130,0,0
0.1,120,70,74,214,38,2,127,127,0,0
0.1,120,75,75,215,37,2,124,124,0,0
0.1,120,80,76,216,36,2,122,122,0,0
0.1,120,85,77,217,34,2,119,119,0,0
0.1,120,90,78,218,34,2,116,116,0,0
0.1,120,95,79,219,33,2,114,114,0,0
0.1,120,100,80,220,32,2,111,111,0,0
0.15,60,0,60,200,57,5,225,225,0,0
0.15,60,5,61,201,56,5,222,222,0,0
0.15,60,10,62,202,56,5,220,220,0,0
0.15,60,15,63,203,54,5,217,217,0,0
0.15,60,20,64,204,53,5,214,214,0,0
0.15,60,25,65,205,52,5,212,212,0,0
0.15,60,30,66,206,51,5,209,209,0,0
0.15,60,35,67,207,50,5,206,206,0,0
0.15,60,40,68,208,50,5,204,204,0,0
0.15,60,45,69,209,48,5,201,201,0,0
0.15,60,50,70,210,46,5,198,198,0,0
0.15,60,55,71,211,46,5,195,195,0,0
0.15,60,60,72,212,45,5,193,193,0,0
0.15,60,65,73,213,44,4,190,190,0,0
0.15,60,70,74,214,42,4,187,187,0,0
0.15,60,75,75,215,42,4,185,185,0,0
0.15,60,80,76,216,40,4,181,181,0,0
0.15,60,85,77,217,39,4,179,179,0,0
0.15,60,90,78,218,39,4,177,177,0,0
0.15,60,95,79,219,38,4,174,174,0,0
0.15,60,100,80,220,36,4,171,171,0,0
0.2,40,0,60,200,62,5,286,286,0,0
0.2,40,5,61,201,60,5,283,283,0,0
0.2,40,10,62,202,60,5,281,281,0,0
0.2,40,15,63,203,59,5,278,278,0,0
0.2,40,20,64,204,57,5,275,275,0,0
0.2,40,25,65,205,57,4,273,273,0,0
0.2,40,30,66,206,56,4,270,270,0,0
0.2,40,35,67,207,54,4,267,267,0,0
0.2,40,40,68,208,54,4,265,265,0,0
0.2,40,45,69,209,53,4,262,262,0,0
0.2,40,50,70,210,51,4,259,259,0,0
0.2,40,55,71,211,50,4,256,256,0,0
0.2,40,60,72,212,50,4,254,254,0,0
0.2,40,65,73,213,48,4,251,251,0,0
0.2,40,70,74,214,47,4,248,248,0,0
0.2,40,75,75,215,46,4,245,245,0,0
0.2,40,80,76,216,45,4,243,243,0,0
0.2,40,85,77,217,44,4,240,240,0,0
0.2,40,90,78,218,44,4,238,238,0,0
0.2,40,95,79,219,42,4,234,234,0,0
0.2,40,100,80,220,41,4,232,232,0,0
